timestamp,open,high,low,close,volume
2026-05-14 04:00:00,400.0,400.6,398.21,399.98,43704
2026-05-14 05:00:00,400.06,400.16,398.13,398.31,18061
2026-05-14 06:00:00,398.3,399.73,398.3,398.78,15083
2026-05-14 07:00:00,398.81,399.08,398.07,398.14,31392
2026-05-14 08:00:00,398.28,399.0,397.07,397.07,43049
2026-05-14 09:00:00,397.09,397.55,393.07,394.65,1696993
2026-05-14 10:00:00,394.61,395.3688,392.728,394.41,1639188
2026-05-14 11:00:00,394.44,398.39,394.01,398.33,1342532
2026-05-14 12:00:00,398.31,398.88,395.47,396.79,1050250
2026-05-14 13:00:00,396.75,399.104,395.3901,398.5,1109164
2026-05-14 14:00:00,398.5,398.5,395.695,396.63,844382
2026-05-14 15:00:00,396.62,397.35,396.02,397.2,1489427
2026-05-14 16:00:00,397.24,397.5,396.46,396.48,1874948
2026-05-14 17:00:00,396.5797,397.32,396.5797,396.9999,4441
2026-05-14 18:00:00,396.98,397.3205,396.65,397.0,5624
2026-05-14 19:00:00,397.237,397.37,396.52,397.0,6898
2026-05-15 04:00:00,393.11,395.32,389.13,390.68,88993
2026-05-15 05:00:00,390.57,390.98,390.0,390.77,26713
2026-05-15 06:00:00,390.79,391.71,390.2,391.24,21518
2026-05-15 07:00:00,391.43,391.5,390.62,390.7,29582
2026-05-15 08:00:00,390.59,390.8,389.79,390.32,48634
2026-05-15 09:00:00,390.3998,395.73,389.3,394.315,2673474
2026-05-15 10:00:00,394.33,395.88,392.91,394.56,1433889
2026-05-15 11:00:00,394.6,395.07,391.1,392.595,1142236
2026-05-15 12:00:00,392.67,393.55,392.0101,392.285,571053
2026-05-15 13:00:00,392.285,394.34,392.19,393.055,681602
2026-05-15 14:00:00,393.08,393.75,391.36,392.81,733411
2026-05-15 15:00:00,392.82,393.53,391.65,393.37,1611866
2026-05-15 16:00:00,393.37,393.4,391.39,392.9988,3075070
2026-05-15 17:00:00,393.0,393.17,392.6955,392.82,14293
2026-05-15 18:00:00,392.88,393.03,392.0,392.2,7029
2026-05-15 19:00:00,392.1,392.5,392.0,392.0599,9953
2026-05-18 04:00:00,390.2,393.0,388.78,392.47,74282
2026-05-18 05:00:00,392.44,392.44,391.0,391.5,9282
2026-05-18 06:00:00,391.51,391.51,390.36,391.0,6783
2026-05-18 07:00:00,391.27,392.54,390.36,391.6,29691
2026-05-18 08:00:00,391.27,394.08,391.0,394.0175,48089
2026-05-18 09:00:00,393.96,402.42,390.9,401.94,3284233
2026-05-18 10:00:00,401.94,404.47,397.93,400.4,2715047
2026-05-18 11:00:00,400.445,400.89,397.57,397.74,1258551
2026-05-18 12:00:00,397.75,398.89,396.19,398.07,1045375
